timestamp,epoch,bce_loss,kl_loss,total_loss
2026-02-25T17:14:00Z,82,10.0171,4.0553,14.0724
2026-02-25T17:16:00Z,83,9.9347,4.1818,14.1165
2026-02-25T17:18:00Z,84,9.8742,4.3332,14.2074
2026-02-25T17:20:00Z,85,9.4436,4.071,13.5146
2026-02-25T17:22:00Z,86,9.1826,4.0674,13.2501
2026-02-25T17:24:00Z,87,9.5045,4.1857,13.6902
2026-02-25T17:26:00Z,88,9.6432,4.2367,13.8799
2026-02-25T17:28:00Z,89,9.5351,4.3016,13.8368
2026-02-25T17:30:00Z,90,9.4217,4.4305,13.8522
2026-02-25T17:32:00Z,91,9.7756,4.0748,13.8504
2026-02-25T17:34:00Z,92,9.0949,4.2108,13.3057
2026-02-25T17:36:00Z,93,9.4321,4.2358,13.6678
2026-02-25T17:38:00Z,94,9.709,4.1589,13.8679
2026-02-25T17:40:00Z,95,9.1794,4.0164,13.1958
2026-02-25T17:42:00Z,96,9.3381,4.2551,13.5932
2026-02-25T17:44:00Z,97,9.601,4.0464,13.6474
2026-02-25T17:46:00Z,98,9.5834,4.211,13.7944
2026-02-25T17:48:00Z,99,9.1595,4.1892,13.3487
2026-02-25T17:50:00Z,100,9.5352,4.0608,13.5961
